,Completed,Height,SAM,MAM (kg >),MAM (kg <=),Normal (kg >),Normal (kg <=),Overweight (kg >),Overweight (kg <),Obese
1625,Boy 0-2 Yrs,91.5,10.376,10.376,11.184,11.184,15.423,15.423,16.815,16.815
1626,Boy 0-2 Yrs,91.6,10.395,10.395,11.204,11.204,15.451,15.451,16.845,16.845
1627,Boy 0-2 Yrs,91.7,10.414,10.414,11.224,11.224,15.478,15.478,16.874,16.874
1628,Boy 0-2 Yrs,91.8,10.432,10.432,11.244,11.244,15.506,15.506,16.904,16.904
1629,Boy 0-2 Yrs,91.9,10.451,10.451,11.264,11.264,15.533,15.533,16.934,16.934
1630,Boy 0-2 Yrs,92,10.469,10.469,11.284,11.284,15.561,15.561,16.964,16.964
1631,Boy 0-2 Yrs,92.1,10.488,10.488,11.304,11.304,15.588,15.588,16.994,16.994
1632,Boy 0-2 Yrs,92.2,10.507,10.507,11.324,11.324,15.615,15.615,17.024,17.024
1633,Boy 0-2 Yrs,92.3,10.525,10.525,11.344,11.344,15.643,15.643,17.054,17.054
1634,Boy 0-2 Yrs,92.4,10.544,10.544,11.364,11.364,15.67,15.67,17.083,17.083
1635,Boy 0-2 Yrs,92.6,10.58,10.58,11.404,11.404,15.726,15.726,17.144,17.144
1636,Boy 0-2 Yrs,92.7,10.599,10.599,11.424,11.424,15.753,15.753,17.174,17.174
1637,Boy 0-2 Yrs,92.8,10.617,10.617,11.444,11.444,15.78,15.78,17.204,17.204
1638,Boy 0-2 Yrs,92.9,10.635,10.635,11.463,11.463,15.808,15.808,17.234,17.234
1639,Boy 0-2 Yrs,93,10.654,10.654,11.483,11.483,15.836,15.836,17.264,17.264
1640,Boy 0-2 Yrs,93.1,10.672,10.672,11.503,11.503,15.864,15.864,17.295,17.295
1641,Boy 0-2 Yrs,93.2,10.691,10.691,11.523,11.523,15.891,15.891,17.325,17.325
1642,Boy 0-2 Yrs,93.3,10.709,10.709,11.543,11.543,15.919,15.919,17.355,17.355
1643,Boy 0-2 Yrs,93.4,10.727,10.727,11.563,11.563,15.946,15.946,17.385,17.385
1644,Boy 0-2 Yrs,93.5,10.745,10.745,11.582,11.582,15.974,15.974,17.416,17.416
1645,Boy 0-2 Yrs,93.6,10.764,10.764,11.602,11.602,16.002,16.002,17.446,17.446
1646,Boy 0-2 Yrs,93.7,10.782,10.782,11.622,11.622,16.03,16.03,17.477,17.477
1647,Boy 0-2 Yrs,93.8,10.8,10.8,11.641,11.641,16.058,16.058,17.508,17.508
1648,Boy 0-2 Yrs,93.9,10.818,10.818,11.661,11.661,16.086,16.086,17.538,17.538
1649,Boy 0-2 Yrs,94,10.837,10.837,11.681,11.681,16.114,16.114,17.569,17.569
1650,Boy 0-2 Yrs,94.1,10.855,10.855,11.701,11.701,16.142,16.142,17.6,17.6
1651,Boy 0-2 Yrs,94.2,10.873,10.873,11.721,11.721,16.17,16.17,17.63,17.63
1652,Boy 0-2 Yrs,94.3,10.891,10.891,11.741,11.741,16.198,16.198,17.661,17.661
1653,Boy 0-2 Yrs,94.4,10.91,10.91,11.76,11.76,16.226,16.226,17.692,17.692
1654,Boy 0-2 Yrs,94.5,10.928,10.928,11.78,11.78,16.254,16.254,17.723,17.723
1655,Boy 0-2 Yrs,94.6,10.946,10.946,11.8,11.8,16.282,16.282,17.754,17.754
1656,Boy 0-2 Yrs,94.7,10.964,10.964,11.82,11.82,16.311,16.311,17.786,17.786
1657,Boy 0-2 Yrs,94.8,10.983,10.983,11.84,11.84,16.339,16.339,17.817,17.817
1658,Boy 0-2 Yrs,94.9,11.001,11.001,11.86,11.86,16.368,16.368,17.849,17.849
1659,Boy 0-2 Yrs,95,11.02,11.02,11.88,11.88,16.396,16.396,17.88,17.88
1660,Boy 0-2 Yrs,95.1,11.038,11.038,11.899,11.899,16.425,16.425,17.911,17.911
1661,Boy 0-2 Yrs,95.2,11.056,11.056,11.919,11.919,16.454,16.454,17.943,17.943
1662,Boy 0-2 Yrs,95.3,11.075,11.075,11.94,11.94,16.482,16.482,17.974,17.974
1663,Boy 0-2 Yrs,95.4,11.093,11.093,11.96,11.96,16.511,16.511,18.006,18.006
1664,Boy 0-2 Yrs,95.5,11.111,11.111,11.98,11.98,16.54,16.54,18.038,18.038
1665,Boy 0-2 Yrs,95.6,11.13,11.13,12,12,16.569,16.569,18.07,18.07
1666,Boy 0-2 Yrs,95.7,11.148,11.148,12.02,12.02,16.598,16.598,18.103,18.103
1667,Boy 0-2 Yrs,95.8,11.167,11.167,12.04,12.04,16.627,16.627,18.135,18.135
1668,Boy 0-2 Yrs,95.9,11.185,11.185,12.06,12.06,16.657,16.657,18.167,18.167
1669,Boy 0-2 Yrs,96,11.204,11.204,12.08,12.08,16.686,16.686,18.2,18.2
1670,Boy 0-2 Yrs,96.1,11.222,11.222,12.1,12.1,16.715,16.715,18.232,18.232
1671,Boy 0-2 Yrs,96.2,11.241,11.241,12.121,12.121,16.745,16.745,18.265,18.265
1672,Boy 0-2 Yrs,96.3,11.26,11.26,12.141,12.141,16.775,16.775,18.298,18.298
1673,Boy 0-2 Yrs,96.5,11.297,11.297,12.182,12.182,16.834,16.834,18.364,18.364
1674,Boy 0-2 Yrs,96.6,11.315,11.315,12.202,12.202,16.864,16.864,18.397,18.397
1675,Boy 0-2 Yrs,96.7,11.334,11.334,12.223,12.223,16.894,16.894,18.43,18.43
1676,Boy 0-2 Yrs,96.8,11.353,11.353,12.243,12.243,16.924,16.924,18.464,18.464
1677,Boy 0-2 Yrs,96.9,11.372,11.372,12.264,12.264,16.955,16.955,18.498,18.498
1678,Boy 0-2 Yrs,97,11.39,11.39,12.284,12.284,16.985,16.985,18.532,18.532
1679,Boy 0-2 Yrs,97.1,11.41,11.41,12.305,12.305,17.015,17.015,18.565,18.565
1680,Boy 0-2 Yrs,97.2,11.428,11.428,12.326,12.326,17.046,17.046,18.599,18.599
1681,Boy 0-2 Yrs,97.3,11.447,11.447,12.347,12.347,17.077,17.077,18.633,18.633
1682,Boy 0-2 Yrs,97.4,11.466,11.466,12.367,12.367,17.108,17.108,18.668,18.668
1683,Boy 0-2 Yrs,97.5,11.485,11.485,12.388,12.388,17.139,17.139,18.702,18.702
1684,Boy 0-2 Yrs,97.6,11.505,11.505,12.409,12.409,17.17,17.17,18.737,18.737
1685,Boy 0-2 Yrs,97.7,11.524,11.524,12.43,12.43,17.201,17.201,18.771,18.771
1686,Boy 0-2 Yrs,97.8,11.543,11.543,12.451,12.451,17.233,17.233,18.807,18.807
1687,Boy 0-2 Yrs,97.9,11.562,11.562,12.472,12.472,17.264,17.264,18.842,18.842
1688,Boy 0-2 Yrs,98,11.582,11.582,12.494,12.494,17.296,17.296,18.877,18.877
1689,Boy 0-2 Yrs,98.1,11.601,11.601,12.515,12.515,17.327,17.327,18.912,18.912
1690,Boy 0-2 Yrs,98.2,11.62,11.62,12.536,12.536,17.359,17.359,18.948,18.948
1691,Boy 0-2 Yrs,98.3,11.64,11.64,12.558,12.558,17.391,17.391,18.983,18.983
1692,Boy 0-2 Yrs,98.4,11.659,11.659,12.579,12.579,17.423,17.423,19.019,19.019
1693,Boy 0-2 Yrs,98.5,11.679,11.679,12.6,12.6,17.455,17.455,19.055,19.055
1694,Boy 0-2 Yrs,98.6,11.698,11.698,12.622,12.622,17.488,17.488,19.091,19.091
1695,Boy 0-2 Yrs,98.7,11.718,11.718,12.644,12.644,17.52,17.52,19.127,19.127
1696,Boy 0-2 Yrs,98.8,11.738,11.738,12.665,12.665,17.553,17.553,19.164,19.164
1697,Boy 0-2 Yrs,98.9,11.757,11.757,12.687,12.687,17.586,17.586,19.201,19.201
1698,Boy 0-2 Yrs,99,11.777,11.777,12.709,12.709,17.618,17.618,19.237,19.237
1699,Boy 0-2 Yrs,99.1,11.797,11.797,12.731,12.731,17.651,17.651,19.274,19.274
1700,Boy 0-2 Yrs,99.2,11.817,11.817,12.752,12.752,17.684,17.684,19.311,19.311
1701,Boy 0-2 Yrs,99.3,11.837,11.837,12.774,12.774,17.718,17.718,19.348,19.348
1702,Boy 0-2 Yrs,99.4,11.857,11.857,12.796,12.796,17.751,17.751,19.385,19.385
1703,Boy 0-2 Yrs,99.5,11.877,11.877,12.818,12.818,17.784,17.784,19.423,19.423
1704,Boy 0-2 Yrs,99.6,11.897,11.897,12.84,12.84,17.818,17.818,19.46,19.46
1705,Boy 0-2 Yrs,99.7,11.917,11.917,12.863,12.863,17.852,17.852,19.498,19.498
1706,Boy 0-2 Yrs,99.8,11.937,11.937,12.885,12.885,17.885,17.885,19.536,19.536
1707,Boy 0-2 Yrs,99.9,11.957,11.957,12.907,12.907,17.92,17.92,19.574,19.574
