,Completed,Height,SAM,MAM (kg >),MAM (kg <=),Normal (kg >),Normal (kg <=),Overweight (kg >),Overweight (kg <),Obese
1973,Boy 2 - 5 yrs,82.1,8.675,8.675,9.368,9.368,13.037,13.037,14.25,14.25
1974,Boy 2 - 5 yrs,82.2,8.692,8.692,9.387,9.387,13.061,13.061,14.277,14.277
1975,Boy 2 - 5 yrs,82.3,8.71,8.71,9.406,9.406,13.086,13.086,14.303,14.303
1976,Boy 2 - 5 yrs,82.4,8.728,8.728,9.425,9.425,13.111,13.111,14.33,14.33
1977,Boy 2 - 5 yrs,82.6,8.764,8.764,9.463,9.463,13.162,13.162,14.384,14.384
1978,Boy 2 - 5 yrs,82.7,8.782,8.782,9.483,9.483,13.187,13.187,14.412,14.412
1979,Boy 2 - 5 yrs,82.8,8.8,8.8,9.503,9.503,13.213,13.213,14.439,14.439
1980,Boy 2 - 5 yrs,82.9,8.819,8.819,9.522,9.522,13.238,13.238,14.466,14.466
1981,Boy 2 - 5 yrs,83,8.837,8.837,9.542,9.542,13.264,13.264,14.494,14.494
1982,Boy 2 - 5 yrs,83.1,8.856,8.856,9.562,9.562,13.29,13.29,14.522,14.522
1983,Boy 2 - 5 yrs,83.2,8.875,8.875,9.582,9.582,13.316,13.316,14.55,14.55
1984,Boy 2 - 5 yrs,83.3,8.894,8.894,9.602,9.602,13.342,13.342,14.578,14.578
1985,Boy 2 - 5 yrs,83.4,8.913,8.913,9.622,9.622,13.369,13.369,14.606,14.606
1986,Boy 2 - 5 yrs,83.5,8.932,8.932,9.643,9.643,13.396,13.396,14.635,14.635
1987,Boy 2 - 5 yrs,83.6,8.951,8.951,9.663,9.663,13.422,13.422,14.663,14.663
1988,Boy 2 - 5 yrs,83.7,8.971,8.971,9.684,9.684,13.449,13.449,14.692,14.692
1989,Boy 2 - 5 yrs,83.8,8.99,8.99,9.705,9.705,13.476,13.476,14.721,14.721
1990,Boy 2 - 5 yrs,83.9,9.01,9.01,9.725,9.725,13.503,13.503,14.75,14.75
1991,Boy 2 - 5 yrs,84,9.029,9.029,9.746,9.746,13.53,13.53,14.778,14.778
1992,Boy 2 - 5 yrs,84.1,9.049,9.049,9.767,9.767,13.557,13.557,14.808,14.808
1993,Boy 2 - 5 yrs,84.2,9.069,9.069,9.788,9.788,13.584,13.584,14.837,14.837
1994,Boy 2 - 5 yrs,84.3,9.088,9.088,9.809,9.809,13.612,13.612,14.866,14.866
1995,Boy 2 - 5 yrs,84.4,9.109,9.109,9.831,9.831,13.639,13.639,14.895,14.895
1996,Boy 2 - 5 yrs,84.5,9.128,9.128,9.852,9.852,13.667,13.667,14.925,14.925
1997,Boy 2 - 5 yrs,84.6,9.149,9.149,9.873,9.873,13.694,13.694,14.955,14.955
1998,Boy 2 - 5 yrs,84.7,9.169,9.169,9.895,9.895,13.722,13.722,14.984,14.984
1999,Boy 2 - 5 yrs,84.8,9.189,9.189,9.916,9.916,13.75,13.75,15.014,15.014
2000,Boy 2 - 5 yrs,84.9,9.209,9.209,9.938,9.938,13.777,13.777,15.043,15.043
2001,Boy 2 - 5 yrs,85,9.229,9.229,9.959,9.959,13.806,13.806,15.074,15.074
2002,Boy 2 - 5 yrs,85.1,9.25,9.25,9.981,9.981,13.833,13.833,15.103,15.103
2003,Boy 2 - 5 yrs,85.2,9.27,9.27,10.002,10.002,13.861,13.861,15.133,15.133
2004,Boy 2 - 5 yrs,85.3,9.29,9.29,10.024,10.024,13.89,13.89,15.163,15.163
2005,Boy 2 - 5 yrs,85.4,9.311,9.311,10.046,10.046,13.917,13.917,15.193,15.193
2006,Boy 2 - 5 yrs,85.5,9.331,9.331,10.067,10.067,13.946,13.946,15.224,15.224
2007,Boy 2 - 5 yrs,85.6,9.352,9.352,10.089,10.089,13.974,13.974,15.253,15.253
2008,Boy 2 - 5 yrs,85.7,9.372,9.372,10.111,10.111,14.002,14.002,15.284,15.284
2009,Boy 2 - 5 yrs,85.8,9.392,9.392,10.133,10.133,14.03,14.03,15.314,15.314
2010,Boy 2 - 5 yrs,85.9,9.413,9.413,10.154,10.154,14.059,14.059,15.344,15.344
2011,Boy 2 - 5 yrs,86,9.433,9.433,10.176,10.176,14.087,14.087,15.374,15.374
2012,Boy 2 - 5 yrs,86.1,9.454,9.454,10.198,10.198,14.115,14.115,15.405,15.405
2013,Boy 2 - 5 yrs,86.2,9.474,9.474,10.22,10.22,14.143,14.143,15.435,15.435
2014,Boy 2 - 5 yrs,86.3,9.495,9.495,10.242,10.242,14.172,14.172,15.465,15.465
2015,Boy 2 - 5 yrs,86.5,9.536,9.536,10.285,10.285,14.228,14.228,15.526,15.526
2016,Boy 2 - 5 yrs,86.6,9.556,9.556,10.307,10.307,14.257,14.257,15.556,15.556
2017,Boy 2 - 5 yrs,86.7,9.576,9.576,10.328,10.328,14.285,14.285,15.587,15.587
2018,Boy 2 - 5 yrs,86.8,9.597,9.597,10.35,10.35,14.313,14.313,15.617,15.617
2019,Boy 2 - 5 yrs,86.9,9.617,9.617,10.372,10.372,14.341,14.341,15.647,15.647
2020,Boy 2 - 5 yrs,87,9.637,9.637,10.393,10.393,14.37,14.37,15.677,15.677
2021,Boy 2 - 5 yrs,87.1,9.658,9.658,10.415,10.415,14.398,14.398,15.708,15.708
2022,Boy 2 - 5 yrs,87.2,9.678,9.678,10.436,10.436,14.426,14.426,15.738,15.738
2023,Boy 2 - 5 yrs,87.3,9.698,9.698,10.458,10.458,14.454,14.454,15.768,15.768
2024,Boy 2 - 5 yrs,87.4,9.718,9.718,10.479,10.479,14.482,14.482,15.798,15.798
2025,Boy 2 - 5 yrs,87.5,9.738,9.738,10.501,10.501,14.51,14.51,15.828,15.828
2026,Boy 2 - 5 yrs,87.6,9.758,9.758,10.522,10.522,14.538,14.538,15.859,15.859
2027,Boy 2 - 5 yrs,87.7,9.778,9.778,10.544,10.544,14.566,14.566,15.889,15.889
2028,Boy 2 - 5 yrs,87.8,9.798,9.798,10.565,10.565,14.594,14.594,15.919,15.919
2029,Boy 2 - 5 yrs,87.9,9.818,9.818,10.586,10.586,14.622,14.622,15.949,15.949
2030,Boy 2 - 5 yrs,88,9.838,9.838,10.607,10.607,14.65,14.65,15.979,15.979
2031,Boy 2 - 5 yrs,88.1,9.858,9.858,10.629,10.629,14.678,14.678,16.009,16.009
2032,Boy 2 - 5 yrs,88.2,9.877,9.877,10.65,10.65,14.706,14.706,16.039,16.039
2033,Boy 2 - 5 yrs,88.3,9.897,9.897,10.671,10.671,14.734,14.734,16.069,16.069
2034,Boy 2 - 5 yrs,88.4,9.917,9.917,10.692,10.692,14.762,14.762,16.099,16.099
2035,Boy 2 - 5 yrs,88.5,9.937,9.937,10.713,10.713,14.79,14.79,16.129,16.129
2036,Boy 2 - 5 yrs,88.6,9.956,9.956,10.734,10.734,14.818,14.818,16.159,16.159
2037,Boy 2 - 5 yrs,88.7,9.976,9.976,10.755,10.755,14.845,14.845,16.189,16.189
2038,Boy 2 - 5 yrs,88.8,9.995,9.995,10.775,10.775,14.873,14.873,16.219,16.219
2039,Boy 2 - 5 yrs,88.9,10.015,10.015,10.796,10.796,14.901,14.901,16.249,16.249
2040,Boy 2 - 5 yrs,89,10.034,10.034,10.817,10.817,14.928,14.928,16.278,16.278
2041,Boy 2 - 5 yrs,89.1,10.053,10.053,10.838,10.838,14.956,14.956,16.309,16.309
2042,Boy 2 - 5 yrs,89.2,10.073,10.073,10.858,10.858,14.984,14.984,16.338,16.338
2043,Boy 2 - 5 yrs,89.3,10.092,10.092,10.879,10.879,15.011,15.011,16.368,16.368
2044,Boy 2 - 5 yrs,89.4,10.111,10.111,10.899,10.899,15.039,15.039,16.398,16.398
2045,Boy 2 - 5 yrs,89.5,10.13,10.13,10.92,10.92,15.066,15.066,16.428,16.428
2046,Boy 2 - 5 yrs,89.6,10.149,10.149,10.94,10.94,15.094,15.094,16.458,16.458
2047,Boy 2 - 5 yrs,89.7,10.169,10.169,10.961,10.961,15.121,15.121,16.487,16.487
2048,Boy 2 - 5 yrs,89.8,10.188,10.188,10.981,10.981,15.149,15.149,16.517,16.517
2049,Boy 2 - 5 yrs,89.9,10.207,10.207,11.002,11.002,15.176,15.176,16.546,16.546
2050,Boy 2 - 5 yrs,90,10.226,10.226,11.022,11.022,15.204,15.204,16.576,16.576
2051,Boy 2 - 5 yrs,90.1,10.244,10.244,11.043,11.043,15.231,15.231,16.606,16.606
2052,Boy 2 - 5 yrs,90.2,10.263,10.263,11.063,11.063,15.258,15.258,16.636,16.636
2053,Boy 2 - 5 yrs,90.4,10.301,10.301,11.103,11.103,15.314,15.314,16.696,16.696
2054,Boy 2 - 5 yrs,90.5,10.32,10.32,11.123,11.123,15.341,15.341,16.725,16.725
2055,Boy 2 - 5 yrs,90.6,10.339,10.339,11.144,11.144,15.368,15.368,16.755,16.755
2056,Boy 2 - 5 yrs,90.7,10.357,10.357,11.164,11.164,15.396,15.396,16.785,16.785
2057,Boy 2 - 5 yrs,90.8,10.376,10.376,11.184,11.184,15.423,15.423,16.815,16.815
2058,Boy 2 - 5 yrs,90.9,10.395,10.395,11.204,11.204,15.451,15.451,16.845,16.845
2059,Boy 2 - 5 yrs,91,10.414,10.414,11.224,11.224,15.478,15.478,16.874,16.874
2060,Boy 2 - 5 yrs,91.1,10.432,10.432,11.244,11.244,15.506,15.506,16.904,16.904
2061,Boy 2 - 5 yrs,91.2,10.451,10.451,11.264,11.264,15.533,15.533,16.934,16.934
2062,Boy 2 - 5 yrs,91.3,10.469,10.469,11.284,11.284,15.561,15.561,16.964,16.964
2063,Boy 2 - 5 yrs,91.4,10.488,10.488,11.304,11.304,15.588,15.588,16.994,16.994
2064,Boy 2 - 5 yrs,91.5,10.507,10.507,11.324,11.324,15.615,15.615,17.024,17.024
2065,Boy 2 - 5 yrs,91.6,10.525,10.525,11.344,11.344,15.643,15.643,17.054,17.054
2066,Boy 2 - 5 yrs,91.7,10.544,10.544,11.364,11.364,15.67,15.67,17.083,17.083
2067,Boy 2 - 5 yrs,91.8,10.562,10.562,11.384,11.384,15.698,15.698,17.114,17.114
2068,Boy 2 - 5 yrs,91.9,10.58,10.58,11.404,11.404,15.726,15.726,17.144,17.144
2069,Boy 2 - 5 yrs,92,10.599,10.599,11.424,11.424,15.753,15.753,17.174,17.174
2070,Boy 2 - 5 yrs,92.1,10.617,10.617,11.444,11.444,15.78,15.78,17.204,17.204
2071,Boy 2 - 5 yrs,92.2,10.635,10.635,11.463,11.463,15.808,15.808,17.234,17.234
2072,Boy 2 - 5 yrs,92.3,10.654,10.654,11.483,11.483,15.836,15.836,17.264,17.264
2073,Boy 2 - 5 yrs,92.4,10.672,10.672,11.503,11.503,15.864,15.864,17.295,17.295
2074,Boy 2 - 5 yrs,92.5,10.691,10.691,11.523,11.523,15.891,15.891,17.325,17.325
2075,Boy 2 - 5 yrs,92.6,10.709,10.709,11.543,11.543,15.919,15.919,17.355,17.355
2076,Boy 2 - 5 yrs,92.7,10.727,10.727,11.563,11.563,15.946,15.946,17.385,17.385
2077,Boy 2 - 5 yrs,92.8,10.745,10.745,11.582,11.582,15.974,15.974,17.416,17.416
2078,Boy 2 - 5 yrs,92.9,10.764,10.764,11.602,11.602,16.002,16.002,17.446,17.446
2079,Boy 2 - 5 yrs,93,10.782,10.782,11.622,11.622,16.03,16.03,17.477,17.477
2080,Boy 2 - 5 yrs,93.1,10.8,10.8,11.641,11.641,16.058,16.058,17.508,17.508
2081,Boy 2 - 5 yrs,93.2,10.818,10.818,11.661,11.661,16.086,16.086,17.538,17.538
2082,Boy 2 - 5 yrs,93.3,10.837,10.837,11.681,11.681,16.114,16.114,17.569,17.569
2083,Boy 2 - 5 yrs,93.4,10.855,10.855,11.701,11.701,16.142,16.142,17.6,17.6
2084,Boy 2 - 5 yrs,93.5,10.873,10.873,11.721,11.721,16.17,16.17,17.63,17.63
2085,Boy 2 - 5 yrs,93.6,10.891,10.891,11.741,11.741,16.198,16.198,17.661,17.661
2086,Boy 2 - 5 yrs,93.7,10.91,10.91,11.76,11.76,16.226,16.226,17.692,17.692
2087,Boy 2 - 5 yrs,93.8,10.928,10.928,11.78,11.78,16.254,16.254,17.723,17.723
2088,Boy 2 - 5 yrs,93.9,10.946,10.946,11.8,11.8,16.282,16.282,17.754,17.754
2089,Boy 2 - 5 yrs,94,10.964,10.964,11.82,11.82,16.311,16.311,17.786,17.786
2090,Boy 2 - 5 yrs,94.1,10.983,10.983,11.84,11.84,16.339,16.339,17.817,17.817
2091,Boy 2 - 5 yrs,94.3,11.02,11.02,11.88,11.88,16.396,16.396,17.88,17.88
2092,Boy 2 - 5 yrs,94.4,11.038,11.038,11.899,11.899,16.425,16.425,17.911,17.911
2093,Boy 2 - 5 yrs,94.5,11.056,11.056,11.919,11.919,16.454,16.454,17.943,17.943
2094,Boy 2 - 5 yrs,94.6,11.075,11.075,11.94,11.94,16.482,16.482,17.974,17.974
2095,Boy 2 - 5 yrs,94.7,11.093,11.093,11.96,11.96,16.511,16.511,18.006,18.006
2096,Boy 2 - 5 yrs,94.8,11.111,11.111,11.98,11.98,16.54,16.54,18.038,18.038
2097,Boy 2 - 5 yrs,94.9,11.13,11.13,12,12,16.569,16.569,18.07,18.07
2098,Boy 2 - 5 yrs,95,11.148,11.148,12.02,12.02,16.598,16.598,18.103,18.103
2099,Boy 2 - 5 yrs,95.1,11.167,11.167,12.04,12.04,16.627,16.627,18.135,18.135
2100,Boy 2 - 5 yrs,95.2,11.185,11.185,12.06,12.06,16.657,16.657,18.167,18.167
2101,Boy 2 - 5 yrs,95.3,11.204,11.204,12.08,12.08,16.686,16.686,18.2,18.2
2102,Boy 2 - 5 yrs,95.4,11.222,11.222,12.1,12.1,16.715,16.715,18.232,18.232
2103,Boy 2 - 5 yrs,95.5,11.241,11.241,12.121,12.121,16.745,16.745,18.265,18.265
2104,Boy 2 - 5 yrs,95.6,11.26,11.26,12.141,12.141,16.775,16.775,18.298,18.298
2105,Boy 2 - 5 yrs,95.7,11.278,11.278,12.161,12.161,16.804,16.804,18.331,18.331
2106,Boy 2 - 5 yrs,95.8,11.297,11.297,12.182,12.182,16.834,16.834,18.364,18.364
2107,Boy 2 - 5 yrs,95.9,11.315,11.315,12.202,12.202,16.864,16.864,18.397,18.397
2108,Boy 2 - 5 yrs,96,11.334,11.334,12.223,12.223,16.894,16.894,18.43,18.43
2109,Boy 2 - 5 yrs,96.1,11.353,11.353,12.243,12.243,16.924,16.924,18.464,18.464
2110,Boy 2 - 5 yrs,96.2,11.372,11.372,12.264,12.264,16.955,16.955,18.498,18.498
2111,Boy 2 - 5 yrs,96.3,11.39,11.39,12.284,12.284,16.985,16.985,18.532,18.532
2112,Boy 2 - 5 yrs,96.4,11.41,11.41,12.305,12.305,17.015,17.015,18.565,18.565
2113,Boy 2 - 5 yrs,96.5,11.428,11.428,12.326,12.326,17.046,17.046,18.599,18.599
2114,Boy 2 - 5 yrs,96.6,11.447,11.447,12.347,12.347,17.077,17.077,18.633,18.633
2115,Boy 2 - 5 yrs,96.7,11.466,11.466,12.367,12.367,17.108,17.108,18.668,18.668
2116,Boy 2 - 5 yrs,96.8,11.485,11.485,12.388,12.388,17.139,17.139,18.702,18.702
2117,Boy 2 - 5 yrs,96.9,11.505,11.505,12.409,12.409,17.17,17.17,18.737,18.737
2118,Boy 2 - 5 yrs,97,11.524,11.524,12.43,12.43,17.201,17.201,18.771,18.771
2119,Boy 2 - 5 yrs,97.1,11.543,11.543,12.451,12.451,17.233,17.233,18.807,18.807
2120,Boy 2 - 5 yrs,97.2,11.562,11.562,12.472,12.472,17.264,17.264,18.842,18.842
2121,Boy 2 - 5 yrs,97.3,11.582,11.582,12.494,12.494,17.296,17.296,18.877,18.877
2122,Boy 2 - 5 yrs,97.4,11.601,11.601,12.515,12.515,17.327,17.327,18.912,18.912
2123,Boy 2 - 5 yrs,97.5,11.62,11.62,12.536,12.536,17.359,17.359,18.948,18.948
2124,Boy 2 - 5 yrs,97.6,11.64,11.64,12.558,12.558,17.391,17.391,18.983,18.983
2125,Boy 2 - 5 yrs,97.7,11.659,11.659,12.579,12.579,17.423,17.423,19.019,19.019
2126,Boy 2 - 5 yrs,97.8,11.679,11.679,12.6,12.6,17.455,17.455,19.055,19.055
2127,Boy 2 - 5 yrs,97.9,11.698,11.698,12.622,12.622,17.488,17.488,19.091,19.091
2128,Boy 2 - 5 yrs,98,11.718,11.718,12.644,12.644,17.52,17.52,19.127,19.127
2129,Boy 2 - 5 yrs,98.2,11.757,11.757,12.687,12.687,17.586,17.586,19.201,19.201
2130,Boy 2 - 5 yrs,98.3,11.777,11.777,12.709,12.709,17.618,17.618,19.237,19.237
2131,Boy 2 - 5 yrs,98.4,11.797,11.797,12.731,12.731,17.651,17.651,19.274,19.274
2132,Boy 2 - 5 yrs,98.5,11.817,11.817,12.752,12.752,17.684,17.684,19.311,19.311
2133,Boy 2 - 5 yrs,98.6,11.837,11.837,12.774,12.774,17.718,17.718,19.348,19.348
2134,Boy 2 - 5 yrs,98.7,11.857,11.857,12.796,12.796,17.751,17.751,19.385,19.385
2135,Boy 2 - 5 yrs,98.8,11.877,11.877,12.818,12.818,17.784,17.784,19.423,19.423
2136,Boy 2 - 5 yrs,98.9,11.897,11.897,12.84,12.84,17.818,17.818,19.46,19.46
2137,Boy 2 - 5 yrs,99,11.917,11.917,12.863,12.863,17.852,17.852,19.498,19.498
2138,Boy 2 - 5 yrs,99.1,11.937,11.937,12.885,12.885,17.885,17.885,19.536,19.536
2139,Boy 2 - 5 yrs,99.2,11.957,11.957,12.907,12.907,17.92,17.92,19.574,19.574
2140,Boy 2 - 5 yrs,99.3,11.978,11.978,12.929,12.929,17.954,17.954,19.612,19.612
2141,Boy 2 - 5 yrs,99.4,11.998,11.998,12.952,12.952,17.988,17.988,19.65,19.65
2142,Boy 2 - 5 yrs,99.5,12.018,12.018,12.974,12.974,18.022,18.022,19.688,19.688
2143,Boy 2 - 5 yrs,99.6,12.038,12.038,12.997,12.997,18.056,18.056,19.727,19.727
2144,Boy 2 - 5 yrs,99.7,12.059,12.059,13.019,13.019,18.091,18.091,19.766,19.766
2145,Boy 2 - 5 yrs,99.8,12.079,12.079,13.042,13.042,18.126,18.126,19.805,19.805
2146,Boy 2 - 5 yrs,99.9,12.1,12.1,13.065,13.065,18.16,18.16,19.844,19.844
2147,Boy 2 - 5 yrs,100,12.12,12.12,13.087,13.087,18.195,18.195,19.883,19.883
2148,Boy 2 - 5 yrs,100.1,12.141,12.141,13.11,13.11,18.23,18.23,19.922,19.922
2149,Boy 2 - 5 yrs,100.2,12.162,12.162,13.133,13.133,18.265,18.265,19.962,19.962
2150,Boy 2 - 5 yrs,100.3,12.182,12.182,13.155,13.155,18.3,18.3,20.002,20.002
2151,Boy 2 - 5 yrs,100.4,12.203,12.203,13.178,13.178,18.335,18.335,20.041,20.041
2152,Boy 2 - 5 yrs,100.5,12.224,12.224,13.201,13.201,18.371,18.371,20.081,20.081
2153,Boy 2 - 5 yrs,100.6,12.244,12.244,13.224,13.224,18.406,18.406,20.121,20.121
2154,Boy 2 - 5 yrs,100.7,12.265,12.265,13.247,13.247,18.442,18.442,20.161,20.161
2155,Boy 2 - 5 yrs,100.8,12.286,12.286,13.27,13.27,18.478,18.478,20.201,20.201
2156,Boy 2 - 5 yrs,100.9,12.307,12.307,13.293,13.293,18.514,18.514,20.242,20.242
2157,Boy 2 - 5 yrs,101,12.328,12.328,13.317,13.317,18.55,18.55,20.282,20.282
2158,Boy 2 - 5 yrs,101.1,12.349,12.349,13.34,13.34,18.586,18.586,20.322,20.322
2159,Boy 2 - 5 yrs,101.2,12.37,12.37,13.363,13.363,18.622,18.622,20.364,20.364
2160,Boy 2 - 5 yrs,101.3,12.391,12.391,13.386,13.386,18.658,18.658,20.404,20.404
2161,Boy 2 - 5 yrs,101.4,12.412,12.412,13.41,13.41,18.695,18.695,20.445,20.445
2162,Boy 2 - 5 yrs,101.5,12.433,12.433,13.433,13.433,18.731,18.731,20.487,20.487
2163,Boy 2 - 5 yrs,101.6,12.454,12.454,13.457,13.457,18.768,18.768,20.528,20.528
2164,Boy 2 - 5 yrs,101.7,12.476,12.476,13.48,13.48,18.804,18.804,20.569,20.569
2165,Boy 2 - 5 yrs,101.8,12.497,12.497,13.504,13.504,18.841,18.841,20.61,20.61
2166,Boy 2 - 5 yrs,101.9,12.518,12.518,13.528,13.528,18.878,18.878,20.652,20.652
2167,Boy 2 - 5 yrs,102.1,12.561,12.561,13.575,13.575,18.952,18.952,20.736,20.736
2168,Boy 2 - 5 yrs,102.2,12.582,12.582,13.599,13.599,18.989,18.989,20.778,20.778
2169,Boy 2 - 5 yrs,102.3,12.604,12.604,13.623,13.623,19.027,19.027,20.819,20.819
2170,Boy 2 - 5 yrs,102.4,12.625,12.625,13.646,13.646,19.064,19.064,20.862,20.862
2171,Boy 2 - 5 yrs,102.5,12.647,12.647,13.67,13.67,19.102,19.102,20.904,20.904
2172,Boy 2 - 5 yrs,102.6,12.669,12.669,13.694,13.694,19.139,19.139,20.947,20.947
2173,Boy 2 - 5 yrs,102.7,12.69,12.69,13.718,13.718,19.177,19.177,20.99,20.99
2174,Boy 2 - 5 yrs,102.8,12.712,12.712,13.742,13.742,19.215,19.215,21.032,21.032
2175,Boy 2 - 5 yrs,102.9,12.733,12.733,13.766,13.766,19.253,19.253,21.075,21.075
2176,Boy 2 - 5 yrs,103,12.755,12.755,13.791,13.791,19.291,19.291,21.118,21.118
2177,Boy 2 - 5 yrs,103.1,12.777,12.777,13.815,13.815,19.329,19.329,21.16,21.16
2178,Boy 2 - 5 yrs,103.2,12.799,12.799,13.839,13.839,19.367,19.367,21.204,21.204
2179,Boy 2 - 5 yrs,103.3,12.821,12.821,13.863,13.863,19.405,19.405,21.247,21.247
2180,Boy 2 - 5 yrs,103.4,12.842,12.842,13.888,13.888,19.444,19.444,21.291,21.291
2181,Boy 2 - 5 yrs,103.5,12.865,12.865,13.912,13.912,19.482,19.482,21.334,21.334
2182,Boy 2 - 5 yrs,103.6,12.886,12.886,13.937,13.937,19.521,19.521,21.378,21.378
2183,Boy 2 - 5 yrs,103.7,12.909,12.909,13.961,13.961,19.559,19.559,21.421,21.421
2184,Boy 2 - 5 yrs,103.8,12.93,12.93,13.985,13.985,19.598,19.598,21.465,21.465
2185,Boy 2 - 5 yrs,103.9,12.952,12.952,14.01,14.01,19.637,19.637,21.509,21.509
2186,Boy 2 - 5 yrs,104,12.975,12.975,14.035,14.035,19.675,19.675,21.553,21.553
2187,Boy 2 - 5 yrs,104.1,12.997,12.997,14.059,14.059,19.715,19.715,21.597,21.597
2188,Boy 2 - 5 yrs,104.2,13.019,13.019,14.084,14.084,19.753,19.753,21.641,21.641
2189,Boy 2 - 5 yrs,104.3,13.041,13.041,14.109,14.109,19.793,19.793,21.686,21.686
2190,Boy 2 - 5 yrs,104.4,13.064,13.064,14.134,14.134,19.832,19.832,21.73,21.73
2191,Boy 2 - 5 yrs,104.5,13.086,13.086,14.159,14.159,19.871,19.871,21.775,21.775
2192,Boy 2 - 5 yrs,104.6,13.108,13.108,14.183,14.183,19.911,19.911,21.82,21.82
2193,Boy 2 - 5 yrs,104.7,13.131,13.131,14.209,14.209,19.95,19.95,21.864,21.864
2194,Boy 2 - 5 yrs,104.8,13.153,13.153,14.233,14.233,19.99,19.99,21.909,21.909
2195,Boy 2 - 5 yrs,104.9,13.176,13.176,14.258,14.258,20.03,20.03,21.954,21.954
2196,Boy 2 - 5 yrs,105,13.198,13.198,14.283,14.283,20.07,20.07,22,22
2197,Boy 2 - 5 yrs,105.1,13.221,13.221,14.309,14.309,20.11,20.11,22.044,22.044
2198,Boy 2 - 5 yrs,105.2,13.243,13.243,14.334,14.334,20.15,20.15,22.09,22.09
2199,Boy 2 - 5 yrs,105.3,13.266,13.266,14.359,14.359,20.19,20.19,22.136,22.136
2200,Boy 2 - 5 yrs,105.4,13.289,13.289,14.384,14.384,20.231,20.231,22.182,22.182
2201,Boy 2 - 5 yrs,105.5,13.312,13.312,14.41,14.41,20.271,20.271,22.227,22.227
2202,Boy 2 - 5 yrs,105.6,13.335,13.335,14.435,14.435,20.311,20.311,22.273,22.273
2203,Boy 2 - 5 yrs,105.7,13.357,13.357,14.461,14.461,20.352,20.352,22.319,22.319
2204,Boy 2 - 5 yrs,105.8,13.38,13.38,14.486,14.486,20.393,20.393,22.365,22.365
2205,Boy 2 - 5 yrs,106,13.426,13.426,14.537,14.537,20.475,20.475,22.458,22.458
2206,Boy 2 - 5 yrs,106.1,13.449,13.449,14.563,14.563,20.516,20.516,22.505,22.505
2207,Boy 2 - 5 yrs,106.2,13.473,13.473,14.589,14.589,20.556,20.556,22.551,22.551
2208,Boy 2 - 5 yrs,106.3,13.496,13.496,14.615,14.615,20.598,20.598,22.598,22.598
2209,Boy 2 - 5 yrs,106.4,13.519,13.519,14.641,14.641,20.639,20.639,22.645,22.645
2210,Boy 2 - 5 yrs,106.5,13.542,13.542,14.667,14.667,20.68,20.68,22.692,22.692
2211,Boy 2 - 5 yrs,106.6,13.565,13.565,14.692,14.692,20.722,20.722,22.739,22.739
2212,Boy 2 - 5 yrs,106.7,13.588,13.588,14.718,14.718,20.764,20.764,22.786,22.786
2213,Boy 2 - 5 yrs,106.8,13.611,13.611,14.744,14.744,20.806,20.806,22.835,22.835
2214,Boy 2 - 5 yrs,106.9,13.635,13.635,14.77,14.77,20.848,20.848,22.882,22.882
2215,Boy 2 - 5 yrs,107,13.658,13.658,14.797,14.797,20.89,20.89,22.93,22.93
2216,Boy 2 - 5 yrs,107.1,13.682,13.682,14.823,14.823,20.932,20.932,22.978,22.978
2217,Boy 2 - 5 yrs,107.2,13.705,13.705,14.849,14.849,20.974,20.974,23.025,23.025
2218,Boy 2 - 5 yrs,107.3,13.729,13.729,14.875,14.875,21.016,21.016,23.073,23.073
2219,Boy 2 - 5 yrs,107.4,13.753,13.753,14.902,14.902,21.059,21.059,23.122,23.122
2220,Boy 2 - 5 yrs,107.5,13.776,13.776,14.928,14.928,21.101,21.101,23.17,23.17
2221,Boy 2 - 5 yrs,107.6,13.8,13.8,14.954,14.954,21.144,21.144,23.219,23.219
2222,Boy 2 - 5 yrs,107.7,13.823,13.823,14.981,14.981,21.187,21.187,23.268,23.268
2223,Boy 2 - 5 yrs,107.8,13.847,13.847,15.008,15.008,21.229,21.229,23.316,23.316
2224,Boy 2 - 5 yrs,107.9,13.871,13.871,15.034,15.034,21.272,21.272,23.365,23.365
2225,Boy 2 - 5 yrs,108,13.895,13.895,15.061,15.061,21.316,21.316,23.415,23.415
2226,Boy 2 - 5 yrs,108.1,13.919,13.919,15.088,15.088,21.359,21.359,23.464,23.464
2227,Boy 2 - 5 yrs,108.2,13.943,13.943,15.115,15.115,21.402,21.402,23.513,23.513
2228,Boy 2 - 5 yrs,108.3,13.967,13.967,15.142,15.142,21.446,21.446,23.562,23.562
2229,Boy 2 - 5 yrs,108.4,13.991,13.991,15.168,15.168,21.49,21.49,23.612,23.612
2230,Boy 2 - 5 yrs,108.5,14.015,14.015,15.195,15.195,21.533,21.533,23.662,23.662
2231,Boy 2 - 5 yrs,108.6,14.04,14.04,15.223,15.223,21.577,21.577,23.712,23.712
2232,Boy 2 - 5 yrs,108.7,14.064,14.064,15.25,15.25,21.621,21.621,23.762,23.762
2233,Boy 2 - 5 yrs,108.8,14.088,14.088,15.277,15.277,21.665,21.665,23.812,23.812
2234,Boy 2 - 5 yrs,108.9,14.112,14.112,15.304,15.304,21.71,21.71,23.863,23.863
2235,Boy 2 - 5 yrs,109,14.137,14.137,15.332,15.332,21.754,21.754,23.913,23.913
2236,Boy 2 - 5 yrs,109.1,14.162,14.162,15.359,15.359,21.798,21.798,23.964,23.964
